Date,Transaction Description,Category,Amount (Rupiah),Type
2020-01-18,By two bad fall pick.,Food & Drink,15200300,Expense
2020-01-18,Fuel deal.,Entertainment,16083000,Expense
2020-01-18,Order mortgage reward advance parking.,Rent,15702900,Expense
2020-01-19,Court attorney product significant world.,Other,32870000,Income
2020-01-19,Subscription restaurant platform freelance hotel.,Rent,17562300,Expense
2020-01-20,Fuel utility entertainment clinic booking financial market.,Food & Drink,19797000,Expense
2020-01-20,Renewal digital bus premium loan hardware purchase.,Health & Fitness,1803500,Expense
2020-01-20,Account vendor.,Travel,9718400,Expense
2020-01-20,Network purchase fuel water mortgage personal.,Entertainment,8694900,Expense
2020-01-20,Fee invoice tools.,Salary,8424700,Income
2020-01-20,Automatic savings.,Entertainment,4187300,Expense
2020-01-20,Mortgage debit health taxi tax financial.,Other,33896600,Income
2020-01-20,Maintenance client tax bus processed travel economy.,Other,36204600,Income
2020-01-21,Online network store.,Utilities,19352300,Expense
2020-01-21,Deposit system standard project reward premium net.,Utilities,17382900,Expense
2020-01-21,Herself law.,Entertainment,19148500,Expense
2020-01-22,Entertainment package insurance.,Shopping,6770800,Expense
2020-01-22,Credit financial.,Rent,6300100,Expense
2020-01-22,Automatic fee health reward maintenance shop freelance.,Entertainment,2572500,Expense
2020-01-22,Regular travel grocery.,Travel,10150600,Expense
2020-01-22,Investment credit electricity store material.,Other,48722900,Income
2020-01-22,Special insurance.,Shopping,5552700,Expense
2020-01-23,Daily internet material service reward fee financial.,Rent,17653000,Expense
2020-01-23,Vendor mall.,Food & Drink,13392100,Expense
2020-01-24,Client express mall material entertainment.,Shopping,8165300,Expense
2020-01-24,Shop electricity hardware vendor.,Other,26753100,Income
2020-01-24,Hospital vendor vendor package savings.,Entertainment,11540000,Expense
2020-01-24,Fee automatic plan business premium bonus mortgage.,Rent,7276700,Expense
2020-01-24,Priority support.,Rent,6939900,Expense
2020-01-24,Software network loan automatic platform booking bus.,Food & Drink,5255700,Expense
2020-01-24,Tools bus bonus savings direct.,Salary,8621700,Income
2020-01-25,Client express train special payment fee.,Shopping,9916400,Expense
2020-01-25,Weekly water mall weekly contract hotel electricity.,Shopping,9718700,Expense
2020-01-25,Have decide environment.,Rent,7660600,Expense
2020-01-25,Loan booking contract platform.,Travel,13495300,Expense
2020-01-25,Play move each left establish.,Health & Fitness,12114100,Expense
2020-01-25,Mortgage automatic.,Shopping,10702400,Expense
2020-01-25,Booking adjustment.,Food & Drink,5105100,Expense
2020-01-25,Economy bill mortgage priority.,Other,25154300,Income
2020-01-25,Bill hotel transfer salary.,Shopping,10539800,Expense
2020-01-25,Hospital water express.,Travel,14741000,Expense
2020-01-26,Fuel bus vendor business.,Food & Drink,4855000,Expense
2020-01-26,Mall material grocery.,Rent,1246100,Expense
2020-01-26,Hardware investment bonus bonus mortgage.,Health & Fitness,10037200,Expense
2020-01-26,Range successful simply.,Salary,10770900,Income
2020-01-26,Clinic invoice maintenance.,Food & Drink,11461400,Expense
2020-01-27,Service transfer.,Health & Fitness,11250800,Expense
2020-01-27,Priority entertainment financial special savings.,Travel,11860800,Expense
2020-01-27,Health digital daily app fee.,Salary,8271700,Income
2020-01-27,Fuel bus reward transfer pharmacy food service.,Rent,7420000,Expense
2020-01-28,Material bill loan.,Utilities,11834200,Expense
2020-01-28,App parking hotel.,Health & Fitness,7501100,Expense
2020-01-28,Equipment pharmacy store daily.,Entertainment,14385300,Expense
2020-01-28,Account deal personal.,Utilities,8789400,Expense
2020-01-28,Taxi tax hotel special.,Other,48415100,Income
2020-01-28,Digital clinic reward clinic taxi.,Health & Fitness,10426100,Expense
2020-01-29,Express loan payment service.,Entertainment,10626400,Expense
2020-01-29,Health freelance savings plan.,Food & Drink,5205900,Expense
2020-01-29,Client premium tax pending insurance.,Shopping,7298700,Expense
2020-01-29,Client water.,Utilities,9835400,Expense
2020-01-29,Tax insurance.,Travel,19817100,Expense
2020-01-29,Source husband.,Shopping,1668100,Expense
2020-01-29,Service maintenance market flight electricity.,Food & Drink,15941700,Expense
2020-01-30,Service travel processed equipment support.,Investment,35564600,Income
2020-01-30,Tree note responsibility.,Health & Fitness,11589300,Expense
2020-01-30,Charge bill delivery hardware.,Other,30720100,Income
2020-01-30,Invoice plan network loan bill.,Food & Drink,7405300,Expense
2020-01-31,Management sense technology check civil.,Shopping,5631700,Expense
2020-01-31,How trip learn enter.,Food & Drink,13259100,Expense
2020-01-31,Much section investment on gun.,Rent,17120800,Expense
2020-01-31,Economy premium mortgage adjustment material grocery.,Food & Drink,15393700,Expense
2020-02-01,Deal management.,Food & Drink,16380000,Expense
2020-02-01,Express hospital credit management.,Investment,19154500,Income
2020-02-01,Subscription adjustment payment shop parking mall.,Health & Fitness,3876800,Expense
2020-02-01,Flight digital.,Investment,13709400,Income
2020-02-01,Budget salary deal train gross parking.,Utilities,4189300,Expense
2020-02-01,Flight personal package bonus management reward hardware.,Shopping,8115000,Expense
2020-02-02,As high you more wife.,Health & Fitness,3336800,Expense
2020-02-02,Financial transfer.,Salary,7358800,Income
2020-02-02,Equipment savings savings fuel booking annual software.,Salary,7273400,Income
2020-02-02,Invoice deal.,Salary,14285200,Income
2020-02-02,Tax tax client invoice express hardware shop.,Food & Drink,6373500,Expense
2020-02-03,Reward reward.,Shopping,15917500,Expense
2020-02-03,Maintenance parking investment platform utility.,Utilities,13919000,Expense
2020-02-03,Service priority regular travel.,Travel,15548400,Expense
2020-02-03,Shop deal deal food.,Rent,8479200,Expense
2020-02-03,Water store health premium.,Entertainment,12516700,Expense
2020-02-03,Equipment salary net credit bus fee subscription.,Rent,8723600,Expense
2020-02-03,Utility equipment direct economy direct management.,Other,22032900,Income
2020-02-03,Savings plan hardware client order pharmacy grocery.,Salary,11582800,Income
2020-02-03,Package invoice.,Investment,34673500,Income
2020-02-03,Hardware payment household platform purchase.,Shopping,16488700,Expense
2020-02-04,Utility discount mortgage.,Entertainment,14679800,Expense
2020-02-04,Race mr.,Travel,14066200,Expense
2020-02-04,Premium hardware monthly savings utility.,Salary,16014800,Income
2020-02-04,Credit management.,Salary,11423800,Income
2020-02-04,Pharmacy daily savings contract direct parking.,Rent,8132200,Expense
2020-02-05,Food household savings financial.,Food & Drink,15617400,Expense
2020-02-05,Delivery tools insurance electricity regular.,Travel,17095700,Expense
2020-02-05,Seven medical blood personal.,Investment,18380000,Income
2020-02-05,Bus grocery investment system taxi maintenance.,Travel,5052100,Expense
2020-02-05,Household financial.,Food & Drink,7164600,Expense
2020-02-05,Deal app flight travel total investment deposit.,Food & Drink,10909200,Expense
2020-02-05,Born itself law west.,Rent,12221700,Expense
2020-02-05,Network subscription.,Shopping,12039900,Expense
2020-02-05,Transfer daily subscription digital purchase annual.,Investment,25694300,Income
2020-02-05,Order tools net.,Food & Drink,13502700,Expense
2020-02-06,Health phone tax client fee processed.,Salary,10620400,Income
2020-02-06,Online utility hospital mortgage maintenance net.,Travel,1774500,Expense
2020-02-06,Material management project.,Health & Fitness,4194900,Expense
2020-02-06,Flight plan.,Entertainment,5606600,Expense
2020-02-07,Fee loan entertainment.,Entertainment,7315600,Expense
2020-02-07,Food affect upon these story.,Entertainment,13723800,Expense
2020-02-07,Current hear claim well two.,Travel,19791500,Expense
2020-02-07,Client management transfer monthly pending.,Salary,5118100,Income
2020-02-07,Online hospital support water vendor invoice flight.,Entertainment,14167400,Expense
2020-02-07,Software grocery fuel net train.,Food & Drink,17242100,Expense
2020-02-07,Water food regular order app financial net.,Salary,6287800,Income
2020-02-07,Phone insurance phone client.,Investment,16396500,Income
2020-02-07,Tax reward utility daily.,Utilities,6898300,Expense
2020-02-08,Parking management.,Other,28555300,Income
2020-02-08,Express gym delivery store subscription.,Entertainment,18271900,Expense
2020-02-08,Around there water.,Food & Drink,4658100,Expense
2020-02-08,Staff within mouth call.,Other,37860000,Income
2020-02-08,Pending deposit advance internet net.,Shopping,9966800,Expense
2020-02-08,Entertainment material parking booking train online.,Investment,27093300,Income
2020-02-08,Network business app.,Utilities,6199700,Expense
2020-02-09,Close month parent who up.,Entertainment,18271400,Expense
2020-02-09,Direct internet system maintenance freelance transfer.,Salary,1645500,Income
2020-02-09,Project renewal material digital travel hotel.,Rent,11364000,Expense
2020-02-09,Payment business account clinic network water transfer.,Investment,26327900,Income
2020-02-09,Debit phone client reward contract.,Salary,8769700,Income
2020-02-09,Renewal electricity flight platform subscription booking material.,Other,13207300,Income
2020-02-09,Reward deal account investment tax.,Food & Drink,17944600,Expense
2020-02-10,App store entertainment shop network.,Utilities,4542900,Expense
2020-02-10,Standard direct loan freelance.,Shopping,2351400,Expense
2020-02-10,Express premium subscription express.,Travel,9878700,Expense
2020-02-10,Freelance loan personal water insurance.,Entertainment,9555000,Expense
2020-02-10,Personal grocery.,Travel,9268900,Expense
2020-02-10,Market processed software direct fee.,Travel,16210700,Expense
2020-02-10,Train deposit daily account loan.,Entertainment,6245500,Expense
2020-02-10,Booking gross financial economy bus service app.,Investment,12421000,Income
2020-02-11,Debit renewal system contract premium maintenance.,Travel,13398900,Expense
2020-02-11,Parking store grocery.,Health & Fitness,10841000,Expense
2020-02-11,Human public health.,Health & Fitness,4331300,Expense
2020-02-11,Clinic renewal network.,Entertainment,8430800,Expense
2020-02-11,Priority salary.,Investment,40870500,Income
2020-02-11,Contract financial.,Entertainment,8566900,Expense
2020-02-12,Material bill fee personal.,Other,32004900,Income
2020-02-12,Monthly discount parking support.,Travel,5762800,Expense
2020-02-12,Booking hospital booking project taxi hospital.,Shopping,9583900,Expense
2020-02-12,App renewal vendor equipment system taxi.,Travel,7973600,Expense
2020-02-12,Gym financial app management.,Health & Fitness,4921300,Expense
2020-02-12,Maintenance purchase project hospital advance project water.,Utilities,8980200,Expense
2020-02-13,Building different full open.,Salary,2943100,Income
2020-02-13,Entertainment deal service.,Food & Drink,3976900,Expense
2020-02-13,Processed hotel booking credit regular.,Investment,19199600,Income
2020-02-13,Advance deal train total.,Health & Fitness,8196800,Expense
2020-02-13,Software management restaurant market.,Travel,9390500,Expense
2020-02-13,Savings software platform personal equipment.,Other,37288800,Income
2020-02-13,Vendor equipment salary freelance adjustment.,Entertainment,6249900,Expense
2020-02-14,Entertainment credit.,Investment,25296200,Income
2020-02-14,Delivery salary.,Health & Fitness,3517900,Expense
2020-02-14,Personal bonus.,Other,35636500,Income
2020-02-14,Health bus shop special salary.,Other,29002700,Income
2020-02-14,Online platform.,Entertainment,10558500,Expense
2020-02-14,Gym hospital hotel hospital insurance client project.,Entertainment,15458400,Expense
2020-02-14,Regular loan.,Other,26072300,Income
2020-02-15,Material management software transfer shop automatic plan.,Entertainment,14950300,Expense
2020-02-15,Standard adjustment maintenance.,Utilities,13834200,Expense
2020-02-15,Detail audience piece director town.,Other,40090000,Income
2020-02-16,System direct network hotel.,Investment,24005100,Income
2020-02-16,Economy annual equipment credit package.,Travel,17386400,Expense
2020-02-16,Business plan.,Utilities,14466600,Expense
2020-02-16,Hardware regular restaurant shop.,Utilities,1749700,Expense
2020-02-16,Much rich think.,Utilities,10239600,Expense
2020-02-16,Automatic business vendor.,Entertainment,6447200,Expense
2020-02-16,Method everything.,Shopping,7303700,Expense
2020-02-16,Flight client.,Other,8966200,Income
2020-02-16,Invoice system water support.,Rent,3607100,Expense
2020-02-16,Net plan material gross hospital.,Entertainment,13693300,Expense
2020-02-16,Deal system special total online.,Entertainment,16652500,Expense
2020-02-17,Delivery direct subscription platform plan.,Health & Fitness,10826900,Expense
2020-02-17,Project project automatic material business annual.,Shopping,10148300,Expense
2020-02-17,Economy package debit savings bonus mall.,Health & Fitness,13280700,Expense
2020-02-17,Renewal hotel gym.,Food & Drink,12266400,Expense
2020-02-17,App shop daily net online maintenance.,Rent,19051400,Expense
2020-02-17,Credit tax account store.,Salary,12879000,Income
2020-02-17,Network store network financial service train system.,Investment,29173900,Income
2020-02-17,Budget invoice platform utility savings.,Entertainment,5784700,Expense
2020-02-17,Financial salary.,Salary,16440600,Income
2020-02-17,Investment grocery processed.,Rent,664100,Expense
2020-02-17,Service order salary financial food service hotel.,Investment,9566300,Income
2020-02-18,Fuel health.,Food & Drink,14387200,Expense
2020-02-18,Water material digital priority.,Utilities,12195700,Expense
2020-02-18,Regular entertainment balance charge deal contract personal.,Health & Fitness,8992400,Expense
2020-02-18,Vendor health restaurant investment interest processed restaurant.,Rent,18960000,Expense
2020-02-18,Contract contract special.,Salary,14402600,Income
2020-02-18,Drug list imagine behind.,Investment,13980000,Income
2020-02-18,Entertainment train pharmacy.,Food & Drink,3686800,Expense
2020-02-18,Renewal pending service.,Entertainment,16077800,Expense
2020-02-19,Software premium personal deal.,Salary,7382600,Income
2020-02-19,Interest level rock pull.,Investment,39580000,Income
2020-02-19,Reward financial net taxi.,Entertainment,14935300,Expense
2020-02-19,Deposit weekly online.,Travel,19059900,Expense
2020-02-19,Train regular store household internet credit discount.,Rent,10796700,Expense
2020-02-20,Credit standard mortgage health restaurant project bonus.,Shopping,14131000,Expense
2020-02-20,Store premium restaurant bonus store.,Travel,6811900,Expense
2020-02-20,Mortgage invoice interest platform booking hardware.,Entertainment,9100700,Expense
2020-02-20,Payment automatic total equipment bill mortgage.,Health & Fitness,9939200,Expense
2020-02-20,I fund.,Shopping,7694200,Expense
2020-02-20,Tools app standard clinic.,Salary,10653300,Income
2020-02-20,Hospital business standard loan bill interest salary.,Travel,12562500,Expense
2020-02-21,Software vendor plan store hospital payment food.,Utilities,1197600,Expense
2020-02-21,Bill regular mortgage freelance credit.,Entertainment,16349200,Expense
2020-02-21,Investment direct grocery train.,Health & Fitness,8237500,Expense
2020-02-21,Pharmacy platform purchase hotel adjustment system.,Rent,5996000,Expense
2020-02-21,Business charge.,Salary,7788600,Income
2020-02-21,Adjustment internet restaurant financial salary hardware.,Utilities,13520700,Expense
2020-02-21,Investment utility digital automatic.,Salary,10083100,Income
2020-02-21,Pending premium tools network household deposit train.,Salary,13155200,Income
2020-02-21,Package monthly.,Food & Drink,14345200,Expense
2020-02-21,Interest package direct tools.,Travel,5872000,Expense
2020-02-22,Personal network system personal online.,Food & Drink,6587700,Expense
2020-02-22,Budget discount advance food account equipment.,Shopping,7388400,Expense
2020-02-22,Bonus app support clinic.,Other,36018200,Income
2020-02-22,Special bill charge total.,Salary,1180000,Income
2020-02-22,Equipment economy electricity app project.,Utilities,3877000,Expense
2020-02-22,Shop internet loan clinic debit weekly hardware.,Utilities,4032900,Expense
2020-02-22,Purchase fuel equipment credit.,Rent,9678100,Expense
2020-02-23,Weekly food taxi renewal.,Travel,5726800,Expense
2020-02-23,Parking app net market food.,Shopping,13823900,Expense
2020-02-23,Weekly express premium taxi regular automatic.,Shopping,7501300,Expense
2020-02-23,Freelance pharmacy business freelance.,Entertainment,7651700,Expense
2020-02-23,Tax automatic maintenance management service financial.,Salary,4391000,Income
2020-02-23,Monthly total network.,Other,27027000,Income
2020-02-23,Annual contract contract fee.,Utilities,8136400,Expense
2020-02-23,Insurance client booking payment hardware.,Salary,15788900,Income
2020-02-24,Tax health hotel.,Travel,11640000,Expense
2020-02-25,Digital tax taxi.,Entertainment,15059500,Expense
2020-02-25,Hospital online.,Shopping,6399200,Expense
2020-02-25,Fuel hardware bus processed support health business.,Entertainment,10907700,Expense
2020-02-25,Invoice regular investment fee balance gym.,Utilities,4001900,Expense
2020-02-25,Online food fuel restaurant personal.,Shopping,11020200,Expense
2020-02-25,Contract management system tax clinic water express.,Utilities,11351000,Expense
2020-02-26,System travel interest annual parking mortgage deposit.,Investment,26348800,Income
2020-02-26,Total tools.,Travel,14608800,Expense
2020-02-26,Budget special.,Health & Fitness,11501000,Expense
2020-02-26,Household budget delivery.,Rent,9652600,Expense
2020-02-26,Water equipment.,Food & Drink,6767400,Expense
2020-02-26,Tax service discount maintenance maintenance.,Health & Fitness,18181300,Expense
2020-02-26,Mortgage restaurant deposit automatic.,Food & Drink,12836500,Expense
2020-02-26,Court movie cell.,Travel,19424500,Expense
2020-02-26,Investment processed gross entertainment budget support.,Shopping,14614200,Expense
2020-02-26,Hardware plan deposit clinic tools adjustment.,Food & Drink,1549600,Expense
2020-02-27,Express weekly.,Other,30389800,Income
2020-02-27,Leg themselves away.,Food & Drink,13637600,Expense
2020-02-27,Management debit market discount debit regular project.,Salary,11049600,Income
2020-02-27,Account booking online network pharmacy.,Investment,38939100,Income
2020-02-27,Maintenance discount contract contract weekly gross budget.,Other,44271500,Income
2020-02-27,Total tax adjustment system pharmacy.,Health & Fitness,7730200,Expense
2020-02-28,Mall freelance mortgage.,Rent,8125800,Expense
2020-02-28,Anything yourself.,Other,32860000,Income
2020-02-28,Purchase transfer.,Food & Drink,14730100,Expense
2020-02-28,Software automatic adjustment.,Travel,8083700,Expense
2020-02-28,Personal direct financial project debit.,Travel,8827300,Expense
2020-02-28,Management investment.,Investment,9595500,Income
2020-02-28,Unit support.,Other,17950000,Income
2020-02-29,Restaurant client regular management fee salary project.,Health & Fitness,10994900,Expense
2020-02-29,Online tax weekly charge.,Health & Fitness,6521400,Expense
2020-02-29,Bonus pharmacy delivery.,Other,27113500,Income
2020-02-29,Magazine degree husband around.,Travel,19440600,Expense
2020-02-29,Debit platform interest weekly.,Shopping,11306100,Expense
2020-02-29,Shop bonus shop restaurant financial special bonus.,Salary,557400,Income
2020-03-01,Invoice order delivery deal electricity express gross.,Rent,14776700,Expense
2020-03-01,Clinic weekly fee bill express.,Entertainment,1694000,Expense
2020-03-01,Software gym.,Utilities,10374000,Expense
2020-03-01,Management market market insurance economy food digital.,Travel,7344300,Expense
2020-03-01,Interest maintenance hospital.,Salary,5891200,Income
2020-03-01,Plan discount.,Rent,3755100,Expense
2020-03-01,Network deposit salary phone express salary.,Travel,19187700,Expense
2020-03-01,Total fuel hospital.,Shopping,5583200,Expense
2020-03-02,Total delivery subscription hardware.,Utilities,12203700,Expense
2020-03-02,Mall parking platform.,Travel,4654100,Expense
2020-03-02,Net household vendor weekly bill bus.,Utilities,10375900,Expense
2020-03-02,Tools tools grocery debit.,Rent,7963200,Expense
2020-03-02,Automatic software.,Entertainment,6902300,Expense
2020-03-02,Tools annual.,Rent,15806300,Expense
2020-03-03,Personal gross charge shop travel fuel entertainment.,Shopping,8064700,Expense
2020-03-03,Clinic contract bonus standard subscription.,Salary,18270600,Income
2020-03-03,Taxi material balance discount software mortgage premium.,Other,37361200,Income
2020-03-03,Taxi platform freelance personal travel water food.,Travel,5943600,Expense
2020-03-03,Client flight loan.,Health & Fitness,7697500,Expense
2020-03-03,World enter.,Rent,17423300,Expense
2020-03-03,Business invoice train processed train.,Salary,17639800,Income
2020-03-04,Platform software hospital shop pending parking travel.,Investment,46397100,Income
2020-03-04,Institution whatever yet.,Entertainment,3141500,Expense
2020-03-04,Choice father why often.,Food & Drink,12019000,Expense
2020-03-04,Support advance travel.,Other,23282700,Income
2020-03-05,Adjustment weekly entertainment flight online.,Shopping,7620600,Expense
2020-03-05,Bill advance system digital.,Rent,11881800,Expense
2020-03-05,Tax software management client freelance digital.,Food & Drink,12364000,Expense
2020-03-05,Discount regular app processed fuel tools utility.,Utilities,11671500,Expense
2020-03-05,Tools network bill material clinic renewal.,Utilities,2479500,Expense
2020-03-05,Bill household salary market order app.,Other,19460600,Income
2020-03-05,Equipment software.,Food & Drink,14877900,Expense
2020-03-05,Gym total subscription.,Investment,32525200,Income
2020-03-06,Gross store utility maintenance fuel mall.,Other,30288800,Income
2020-03-06,Deal reward material.,Utilities,8441800,Expense
2020-03-06,Travel adjustment material deposit.,Travel,17558300,Expense
2020-03-06,Economy hotel direct interest premium support reward.,Utilities,16366600,Expense
2020-03-06,Electricity regular reward parking shop credit deal.,Salary,2526800,Income
2020-03-06,Direct project transfer transfer priority utility.,Other,14592400,Income
2020-03-07,Subscription plan clinic utility.,Salary,8637000,Income
2020-03-07,Market delivery delivery loan discount hospital.,Food & Drink,5169400,Expense
2020-03-07,Economy gross app hardware household project.,Investment,19196000,Income
2020-03-07,Booking account loan special adjustment train.,Investment,30917800,Income
2020-03-07,Advance financial parking interest reward.,Entertainment,8136700,Expense
2020-03-07,System household app tools discount vendor investment.,Investment,7579200,Income
2020-03-08,Client digital flight parking.,Salary,17620700,Income
2020-03-08,Purchase digital maintenance.,Entertainment,15090900,Expense
2020-03-09,Household restaurant hotel.,Rent,6282700,Expense
2020-03-09,Freelance network system support contract.,Shopping,12777100,Expense
2020-03-09,Contract network phone net train.,Food & Drink,9419300,Expense
2020-03-09,Gross pharmacy balance.,Shopping,9055800,Expense
2020-03-09,Security arm.,Rent,18589100,Expense
2020-03-09,Clinic app system market transfer software travel.,Other,41576900,Income
2020-03-09,Bus investment parking system entertainment train.,Travel,10006300,Expense
2020-03-09,Pharmacy express online bill.,Other,27447800,Income
2020-03-09,Me system church whether.,Travel,4865100,Expense
2020-03-09,Advance restaurant pharmacy support gross transfer.,Health & Fitness,12472500,Expense
2020-03-10,Freelance credit shop purchase budget project network.,Food & Drink,11870400,Expense
2020-03-10,Equipment premium clinic.,Travel,5916500,Expense
2020-03-10,Deal daily bonus transfer mall balance.,Rent,18220800,Expense
2020-03-10,Train personal transfer service.,Food & Drink,3505300,Expense
2020-03-10,Discount system.,Rent,6733400,Expense
2020-03-11,Discount fee discount.,Other,21694600,Income
2020-03-11,Shop discount charge.,Utilities,13389800,Expense
2020-03-11,Walk now often.,Rent,19561900,Expense
2020-03-11,Attention attack technology.,Rent,1804500,Expense
2020-03-11,Pending contract contract financial charge software adjustment.,Investment,21542600,Income
2020-03-12,Renewal hospital grocery.,Travel,15043400,Expense
2020-03-12,Enter capital population.,Utilities,5374600,Expense
2020-03-12,Annual grocery.,Shopping,17524000,Expense
2020-03-12,Bank price north first end.,Utilities,2655000,Expense
2020-03-12,Online direct.,Entertainment,3464600,Expense
2020-03-13,Balance mortgage delivery.,Food & Drink,4000600,Expense
2020-03-13,Service online.,Health & Fitness,17988400,Expense
